n,orig,dedup_stored,dedup_ratio,zstd_stored,zstd_ratio,unique_nodes,avg_reuse,dict_stored,dict_ratio
1,2349,1712,1.3720794392523366,1294,1.8153013910355487,4,1.0,131236,0.017899052089365722
2,4723,2055,2.2982968369829684,2593,1.8214423447743926,5,1.6,131404,0.03594258926668899
5,9786,2847,3.4373024236037937,5407,1.8098760865544665,8,2.0,131766,0.07426802058194071
10,17665,4760,3.7111344537815127,9765,1.8090117767537122,15,1.9333333333333333,132347,0.13347488042796588
25,42938,9254,4.639939485627837,23871,1.7987516233086172,31,2.2903225806451615,134260,0.31981230448383735
50,81835,17529,4.668549261224257,45655,1.7924652283430074,58,2.3793103448275863,138293,0.5917508478375623
100,157261,29245,5.377363651906308,88330,1.7803803917128949,87,3.1149425287356323,145797,1.0786298757861958
250,390601,61988,6.3012357230431695,219228,1.781711277756491,134,5.007462686567164,168065,2.3241067444143635
500,776048,115703,6.707241817411822,436030,1.7798041419168407,196,6.821428571428571,207333,3.743002802255309
1000,1575314,218804,7.199658141533061,882329,1.785404310636962,253,10.628458498023715,280335,5.619398219986802
