n,orig,dedup_stored,dedup_ratio,zstd_stored,zstd_ratio,unique_nodes,avg_reuse,dict_stored,dict_ratio
1,2349,1712,1.3720794392523366,1294,1.8153013910355487,4,1.0,131312,0.0178886925795053
2,4723,2055,2.2982968369829684,2593,1.8214423447743926,5,1.6,131556,0.0359010611450637
5,9786,2847,3.4373024236037937,5407,1.8098760865544665,8,2.0,131918,0.07418244667141709
10,17665,4760,3.7111344537815127,9765,1.8090117767537122,15,1.9333333333333333,132504,0.1333167300609793
25,42938,9254,4.639939485627837,23871,1.7987516233086172,31,2.2903225806451615,134490,0.3192653728901777
50,81835,17529,4.668549261224257,45655,1.7924652283430074,58,2.3793103448275863,138181,0.5922304803120545
100,157261,29245,5.377363651906308,88330,1.7803803917128949,87,3.1149425287356323,144498,1.088326482027433
250,390601,61988,6.3012357230431695,219228,1.781711277756491,134,5.007462686567164,164187,2.3790007735082557
500,776048,115703,6.707241817411822,436030,1.7798041419168407,196,6.821428571428571,200007,3.8801041963531278
1000,1575314,218804,7.199658141533061,882329,1.785404310636962,253,10.628458498023715,267706,5.884492689741732
2500,3946904,520147,7.588054915245113,2211082,1.7850554615342171,317,21.293375394321767,471610,8.368999809164352
5000,7857130,1012511,7.760044088409904,4402513,1.7846920611023749,361,37.22160664819945,815189,9.638415140537962
