n,orig,dedup_stored,dedup_ratio,zstd_stored,zstd_ratio,unique_nodes,avg_reuse,dict_stored,dict_ratio
1,199,252,0.7896825396825397,168,1.1845238095238095,1,1.0,131105,0.0015178673582243241
2,394,507,0.777120315581854,338,1.165680473372781,2,1.0,131141,0.0030043998444422414
5,993,1261,0.7874702616970658,837,1.1863799283154122,5,1.0,131247,0.00756588722027932
10,1981,2512,0.7886146496815286,1662,1.1919374247894103,10,1.0,131419,0.01507392386184646
25,4946,6255,0.7907274180655476,4131,1.197288792060034,25,1.0,131957,0.03748190698485113
50,9938,12582,0.7898585280559529,8331,1.1928940103228904,50,1.0,132847,0.07480786167546125
100,19960,25164,0.7931966301065013,16671,1.1972887049367165,100,1.0,134667,0.14821745490728983
250,49955,62941,0.7936797953639122,41695,1.1981052884038854,250,1.0,149431,0.3343014501676359
500,100855,126548,0.7969703195625375,84069,1.199669319249664,500,1.0,174359,0.5784330031716172
1000,202955,253756,0.7998037484827945,169155,1.1998167361295853,998,1.002004008016032,224922,0.9023350316998782
1400,284385,355426,0.800124357812878,237016,1.1998557059439026,1397,1.0021474588403723,268091,1.06077787020079
