n,orig,dedup_stored,dedup_ratio,zstd_stored,zstd_ratio,unique_nodes,avg_reuse,dict_stored,dict_ratio
1,1647,1205,1.366804979253112,910,1.80989010989011,3,1.0,131196,0.012553736394402269
2,3892,2503,1.5549340791050739,1956,1.9897750511247443,6,1.0,131359,0.02962872738068956
5,8026,4494,1.7859368046283934,4369,1.8370336461432821,12,1.25,131688,0.060947087054249435
10,16586,6021,2.7546919116425843,8879,1.868003153508278,16,1.875,132359,0.1253107079987005
25,39883,10767,3.7041887248072816,21901,1.8210583991598557,30,2.5,134314,0.2969385172059502
50,78537,17390,4.5162162162162165,43510,1.8050333256722593,43,3.488372093023256,137518,0.5711034191887607
100,163217,31146,5.240383997945162,88880,1.8363748874887489,67,4.477611940298507,144027,1.1332389065939026
250,425821,74255,5.734576796175341,226809,1.8774431349725982,139,5.39568345323741,164885,2.5825332807714467
500,857007,145383,5.894822640886486,454323,1.8863385740981637,254,5.905511811023622,199258,4.300991679129571
1000,1714407,285161,6.012066867488892,909003,1.8860300791086497,474,6.329113924050633,268054,6.39575234840741
1500,2567647,423871,6.0576142269699975,1363002,1.8838174852274612,689,6.531204644412192,336225,7.636692690906387
